protein id,location
AT3G28930.1,cytosol
AT3G44310.1,cytosol
AT3G46970.1,cytosol
AT3G47000.1,cytosol
AT3G47560.2,cytosol
AT3G48330.1,cytosol
AT3G48690.1,cytosol
AT3G51000.1,cytosol
AT3G51160.1,cytosol
AT3G51780.1,cytosol
AT3G52340.1,cytosol
AT3G52390.1,cytosol
AT3G53180.1,cytosol
AT3G53880.1,cytosol
AT3G55440.1,cytosol
AT3G59380.1,cytosol
AT3G59970.1,cytosol
AT3G60450.1,cytosol
AT3G62120.3,cytosol
AT4G01897.1,cytosol
AT4G02520.1,cytosol
AT4G02860.1,cytosol
AT4G04040.1,cytosol
AT4G04880.1,cytosol
AT4G09520.1,cytosol
AT4G09570.1,cytosol
AT4G09670.1,cytosol
AT4G10120.1,cytosol
AT4G13780.1,cytosol
AT4G14030.1,cytosol
AT4G14570.1,cytosol
AT4G14880.1,cytosol
AT4G16440.1,cytosol
AT4G16690.1,cytosol
AT4G17190.1,cytosol
AT4G17510.1,cytosol
AT4G17830.2,cytosol
AT4G18930.1,cytosol
AT4G21580.1,cytosol
AT4G22530.1,cytosol
AT4G22720.1,cytosol
AT4G23730.1,cytosol
AT4G24220.1,cytosol
AT4G31180.1,cytosol
AT4G31310.1,cytosol
AT4G33090.1,cytosol
AT4G33670.1,cytosol
AT4G33945.1,cytosol
AT4G34215.1,cytosol
AT4G34270.1,cytosol
AT4G34840.2,cytosol
AT4G34890.1,cytosol
AT4G34920.1,cytosol
AT4G36760.2,cytosol
AT4G37550.3,cytosol
AT4G38370.1,cytosol
AT4G38630.1,cytosol
AT4G38740.1,cytosol
AT4G38800.1,cytosol
AT4G39230.1,cytosol
AT4G39280.1,cytosol
AT4G39800.1,cytosol
AT5G02790.1,cytosol
AT5G03300.1,cytosol
AT5G05920.1,cytosol
AT5G05980.1,cytosol
AT5G06060.1,cytosol
AT5G06450.1,cytosol
AT5G06600.1,cytosol
AT5G07370.1,cytosol
AT5G08160.1,cytosol
AT5G08170.4,cytosol
AT5G09680.3,cytosol
