ID1,ID2,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
Q9LF98,AT3G52930.1,0.4998,0.75253,0.03126,0.02312,0.81915,1,0.32469,0,0.82074,0.56452
Q9LDR4,AT3G52940.1,1,0.42183,0.27325,0.09594,0.53669,0,0.15132,0.20488,0.58865,0.99658
Q9LF97,AT3G52950.1,0.14878,1,0.35499,0.02671,0.18774,0.04472,0.07338,0,0.51551,0.14999
Q949U7,AT3G52960.1,0.02315,0.01744,0.05367,0.95263,0.01531,0.07102,0.04092,1,0,0.04422
Q94KE3,AT3G52990.1,0.19818,0.49445,0.00458,0.00923,0.40169,0.60154,1,0,0.52672,0.25133
P38666,AT3G53020.1,0.71462,0.7308,0.0406,0.15196,0.50838,1,0.93425,0,0.48441,0.6015
F4J982,AT3G53030.1,0.50373,0.49659,0.05222,0.09893,0.69153,0.32987,1,0,0.67078,0.62893
Q9SCQ2,AT3G53090.1,0.35529,0.47809,0.04739,0.08197,0.49389,1,0.14188,0,0.5082,0.4307
Q93ZG7,AT3G53110.1,0.51084,0.89411,0.00541,0.02972,0.89515,0.17843,0.44877,0,1,0.64168
Q9SCP9,AT3G53120.1,0.11493,0.22589,0,1,0.23118,0.07926,0.79524,0.9181,0.17305,0.23382
Q6TBX7,AT3G53130.1,0.02803,0.01492,0.06088,0.98664,0.01525,0.08108,0.02997,1,0,0.04012
F4J9A0,AT3G53180.1,0.38125,0.92859,0.06178,0.00174,0.75481,0.77263,0.0268,0,1,0.49541
Q8LCH9,AT3G53220.1,0.3523,0,0.28259,0.95705,0.1428,0.17709,0.53353,1,0.07008,0.29804
Q9SCN8,AT3G53230.1,0.2802,0.33288,0,0.00999,0.45134,1,0.17349,0.00764,0.37772,0.34502
P45724,AT3G53260.1,0.00469,0.05456,0.02322,0.01814,0.02068,0.19274,1,0,0.07042,0.00216
Q67XJ2,AT3G53340.1,0.06187,0.07533,0.01225,0.00442,0.1137,0.90558,1,0,0.0912,0.07593
A0A1I9LNX3,AT3G53350.9,0.30849,0.1232,0.0906,0.11746,0.42824,1,0.44889,0,0.23165,0.48296
F4JAE0,AT3G53390.1,0.65463,0.69421,0,0.04387,1,0.05305,0.60002,0.03898,0.92442,0.79578
P43286,AT3G53420.1,0.36791,1,0.13299,0.08343,0.48016,0,0.03585,0.05252,0.73416,0.37153
F4JAF3,AT3G53460.4,0.02753,0,0.02601,1,0.03174,0.08697,0.58698,0.94163,0.00639,0.02853
Q9LFH1,AT3G53470.1,0.08091,0,0.78264,0.93473,0.03144,0.36419,0.01484,1,0.02059,0.08953
F4JAF4,AT3G53470.2,0.09165,0.02985,0.12361,0.91984,0.03407,0.06498,0.03949,1,0,0.08069
Q9LFG9,AT3G53490.1,0.2537,0.08852,0.03108,0,1,0.00285,0.03634,0.01697,0.33771,0.37503
Q9FYB7,AT3G53500.1,0.00021,0.00284,0,0.0157,0.02617,0.42859,1,0.01169,0.02007,0.00389
F4JAG3,AT3G53520.4,0.8079,0.03044,0.18861,0.00584,0.40128,0,0.03636,0.0727,0.08672,1
F4JAG7,AT3G53540.1,0.82545,0.5724,0.30573,0.10358,1,0,0.16882,0.16631,0.72115,0.93297
Q9LFG3,AT3G53560.2,0.71239,0.14501,0,0.45567,0.42974,0.1783,0.23287,0.61364,0.34651,1
Q9LFG2,AT3G53580.1,0.02786,0.01896,0.05931,0.9624,0.01721,0.07385,0,1,0.0131,0.05732
O24466,AT3G53610.1,0.42001,1,0.06139,0.01536,0.4983,0.23019,0.03661,0,0.75839,0.47925
Q9LFF9,AT3G53620.1,0.59863,0.97683,0.05049,0.01759,1,0.46703,0.31655,0,0.9425,0.70534
Q8VXU5,AT3G53630.1,0.49338,0.56181,0.01656,0,0.52428,0.17219,1,0.03753,0.67219,0.46799
Q9LFF1,AT3G53700.1,0.01813,0,0.06573,0.99421,0.02745,0.04155,0.58197,1,0.02569,0.06019
Q9M354,AT3G53710.1,0.29776,0.39556,0.0106,0.02407,0.45396,1,0.33058,0,0.47029,0.38159
Q9M352,AT3G53740.1,1,0.74162,0,0.42877,0.55284,0.14502,0.34614,0.01955,0.49953,0.67784
A0A1I9LLT8,AT3G53760.2,0.27567,0.25362,0.03101,0,0.22261,0.0958,1,0.06272,0.35493,0.36595
F4JBM4,AT3G53780.1,0.94809,0.66151,0.24173,0.17513,0.9432,0,0.05101,0.14938,0.80104,1
Q9M339,AT3G53870.1,0.35888,0.68724,0.03508,0.0328,0.56285,0.53491,1,0,0.7051,0.46249
Q9M338,AT3G53880.1,0.11031,0.17052,0,0.00671,0.24006,1,0.04458,0.01206,0.24338,0.15676
Q9M336-2,AT3G53900.1,0.03252,0.02723,0.05806,0.81272,0.0242,0.07079,0,1,0.02243,0.04914
A8MR56,AT3G53930.2,0.73759,0.97366,0.09929,0,0.97163,0.0385,0.30294,0.02432,1,0.8926
A0A1I9LM96,AT3G53940.2,0.07533,0,1,0.45322,0.04253,0.06561,0.31106,0.46537,0.01094,0.00608
Q9M330,AT3G53970.1,0.32529,0.4861,0,0.14323,0.54502,1,0.32287,0.1313,0.50583,0.41309
Q9M328,AT3G53990.1,0.67508,0.65243,0.08103,0.04939,1,0,0.28708,0.02977,0.89475,0.78096
Q7DMA9,AT3G54010.1,0.77985,1,0.1207,0,0.68048,0.2576,0.14941,0.00514,0.86078,0.76001
Q9M324,AT3G54030.1,0.532,1,0.14082,0.09488,0.60146,0,0.08065,0.06483,0.76321,0.56272
P25851,AT3G54050.1,0.02612,0.02205,0.06127,0.93568,0.01879,0.0605,0,1,0.01304,0.04589
Q9M395,AT3G54080.1,0.49205,0.10247,0.11837,0.04682,1,0,0.09717,0.05654,0.45406,0.63958
Q9M394,AT3G54090.1,0,0.04307,0.00646,1,0.01795,0.03122,0.37947,0.95817,0.03537,0.03325
Q9M393,AT3G54100.1,0.74576,0,0.03955,0.24294,0.36723,0.01695,0.18079,0.20904,0.22034,1
O81845,AT3G54110.1,0.06336,0.00178,1,0.4521,0.02902,0,0.00668,0.47359,0.00489,0.03746
Q9M391,AT3G54130.1,0.61494,0.58588,0.09092,0.0458,1,0,0.16578,0.03845,0.66536,0.6428
Q9M390,AT3G54140.1,0.52974,1,0.17483,0.12668,0.59189,0,0.03829,0.10884,0.7803,0.55531
Q9M389,AT3G54150.1,0.28107,0.3494,0.01251,0,0.42413,1,0.61461,0.01525,0.41147,0.31539
Q9ZSZ8,AT3G54170.1,0.01428,0.05411,0,0.0148,0.06287,0.25043,1,0.0215,0.0763,0.01939
P25859,AT3G54180.1,0.2651,0.36689,0.04922,0.03691,0.48993,0.08166,1,0,0.51566,0.3132
Q9M386,AT3G54200.1,0.77928,1,0.25639,0.13544,0.85788,0,0.08489,0.11351,0.86417,0.92026
